year,1,2,3,4,5,6,7,8,9,10
2080,0.350855049194914,1.20166017112506,2.31238480058824,3.45038159228383,4.48505477185722,5.38421138216375,6.19407718308642,6.88141874952346,7.54920405127742,8.12108397827798
2081,0.423339625999829,1.33889883549534,2.34277831434615,3.39723477346125,4.41351791169024,5.31890559419364,6.08392324198511,6.79793492020223,7.39445338942483,7.96689732649381
2082,0.406957257293621,1.39166227464505,2.41152594069676,3.36987878263407,4.32546406857608,5.21015047248756,5.97418443550205,6.62143616683365,7.23146839337278,7.73876193606544
2083,0.360760758175033,1.24721709891412,2.29308471148177,3.26531987139174,4.15500041730666,5.01541727684521,5.8024320554098,6.4678281738362,7.02328986098734,7.55880008050909
2084,0.38457717243507,1.25995703013175,2.30259257387136,3.32678507635281,4.19888343660475,4.97815371009013,5.73144935200102,6.40444499714228,6.97261359790914,7.45475619179065
2085,0.354730623433045,1.23678525684435,2.23629031720886,3.26757168163393,4.22948586260142,5.0211413017879,5.71914084570777,6.39069623403302,6.98967015912736,7.49960580553434
2086,0.393141736442704,1.28189560962697,2.30987277849626,3.32329553083508,4.26449609279731,5.1273865945402,5.83023806733018,6.43567927531693,7.00781036615946,7.51915226632147
2087,0.411852245317245,1.3682101268316,2.39020231927925,3.36880834218564,4.28004127090108,5.10382894241312,5.83325815753039,6.43269715406902,6.94104054755499,7.42632150867609
2088,0.404060067055392,1.39702979393664,2.49401911408917,3.476545512687,4.36755929118169,5.17670335100457,5.9074520911289,6.5462319488837,7.07534957622698,7.51907494317821
2089,0.368205299322722,1.28747211229419,2.39836415996982,3.47427964152022,4.37234738252755,5.16174054173378,5.8941883516619,6.54231850941265,7.10029651335089,7.55935962962969
2090,0.395655636786957,1.29487631913516,2.36049816214485,3.41211441841151,4.3775472284595,5.15690235659373,5.8326749445617,6.4635030420323,7.0247708318682,7.50555746542917
2091,0.372344390440794,1.28343844117336,2.32367553283865,3.37390862283882,4.3362251272213,5.17805433171724,5.86642832224877,6.46538409118789,7.01633261130899,7.5007957586953
2092,0.376617065609627,1.24343929393239,2.28792921073035,3.3015517893626,4.225909586232,5.04906372535932,5.77289893472396,6.35509637279858,6.86880200231281,7.33615216165423
2093,0.345412532140052,1.18866586421742,2.20244981242762,3.24832677732673,4.17933613879083,4.99231454634193,5.71399068709865,6.35201912916345,6.85763203834135,7.29891598419411
2094,0.338494759217952,1.10633517305212,2.05670205540787,3.01948842033338,3.97120167676957,4.79119431296945,5.52506064502803,6.17276396973382,6.73789318935624,7.18142873347536
2095,0.327876785768298,1.08481869312387,1.97853313984034,2.89830084460744,3.78550083966243,4.63183700497556,5.33931546664294,5.98641552429705,6.56088792033075,7.05685997953267
2096,0.346288442106391,1.08421747195229,1.90639885941864,2.75120806168333,3.5847670721873,4.39029604093186,5.13840300922086,5.74978524701904,6.30565085365187,6.81616331382401
2097,0.335255438445805,1.09840574912774,1.93959484084044,2.7133257869081,3.48335588162806,4.2267722680437,4.92235749581631,5.57207574183198,6.0939985153652,6.57471500640765
2098,0.360150131036003,1.1300647135575,2.00909878603234,2.82159058681087,3.50944998736503,4.17467994565967,4.82091632759014,5.40981140822159,5.95959138816145,6.40216738373661
2099,0.349031629096174,1.16969046071339,2.06097325169479,2.92860561785359,3.68108037549126,4.30877099591948,4.90065624819542,5.48120988657819,6.00671708594694,6.50398754392119
2100,0.333782754801076,1.0874857308838,2.00768357471553,2.8580924026824,3.6352928602298,4.28520032764895,4.83778191454038,5.35292391739841,5.85041295547378,6.29505025855433
2180,0.288718982549087,0.95327323790951,1.65254918308407,2.29287044125491,2.90392712955126,3.39730862358998,3.79546897157496,4.17476785820945,4.52551725922022,4.83146443648877
2181,0.267235127362917,0.842842544800202,1.54156719572215,2.19396445662459,2.76231086198106,3.30604083837063,3.73356170797066,4.0880643089147,4.43222914002002,4.74797181006155
2182,0.312543246979277,0.904483070044877,1.55929333268208,2.21540486972342,2.80535791039227,3.29827361407389,3.78067547066097,4.15461390813451,4.46032705143547,4.75383869573994
2183,0.310188968869324,0.969982607511226,1.64165010371247,2.2951663227266,2.89999945224673,3.42629815658245,3.85816985777363,4.28327937463737,4.61025230136709,4.87465776431112
2184,0.286559569686257,0.924347795417438,1.64798332069446,2.29467296919371,2.90042706559512,3.43683733068256,3.91300790252685,4.30601498445986,4.68785571090252,4.98216343388904
2185,0.274913381728678,0.849628310981648,1.5448342200912,2.22861646298258,2.80869396369333,3.3339745314417,3.80788850745681,4.230888613288,4.57565842327064,4.91395971564597
2186,0.268504437772423,0.806920765632599,1.43156030489584,2.07442183392742,2.68781368835557,3.18404012060466,3.65333351598388,4.07037979236329,4.43780153409272,4.74046186655667
2187,0.277575787353692,0.81255990253658,1.39457861465371,1.97080542364923,2.54207133789318,3.0899585302272,3.52088381272685,3.92019317071683,4.26954390493122,4.58528160424949
2188,0.283011129611859,0.855803975477146,1.45371846910004,2.0256096265484,2.56895515705819,3.08210215540443,3.57299073184738,3.95204185624136,4.29768245683426,4.60278876169537
2189,0.263495105570322,0.826928085530327,1.46983598350343,2.03391069757642,2.55605923896294,3.03336837212015,3.47290364794712,3.89575614212625,4.2170373597494,4.51259383315752
2190,0.305957804686052,0.879587656925846,1.49329475634621,2.11399800011485,2.62428374723147,3.07496452324722,3.49036901042554,3.87501386442064,4.238898766612,4.51192568592442
2191,0.29558301908787,0.903875366124044,1.49980554667834,2.06846229078494,2.61407111894057,3.05854048768818,3.45404087272677,3.8115980917034,4.14408855634538,4.46389200962112
2192,0.260553134976358,0.800321223120931,1.41606471559033,1.95536326675971,2.44858414497061,2.91868694038834,3.29656801460369,3.63670170369978,3.95095355622248,4.24442128543798
2193,0.30213243960044,0.868065527124871,1.46840547283381,2.06190694018097,2.55214326254005,2.99604136132097,3.40527014746973,3.72657967657084,4.01325455641913,4.28245170161155
2194,0.291481617836861,0.908073767664554,1.52843597631702,2.0968141399313,2.62935590015145,3.06467279598075,3.44700569962101,3.8032701241476,4.08025003721873,4.3247333705001
2195,0.325799743928734,0.976807649616774,1.65161375140557,2.24195066688566,2.76285214404306,3.24647307381697,3.63312262784082,3.97613304916994,4.29097431474722,4.53296886226458
2196,0.31872606912447,1.00574408696572,1.72123685406591,2.36772199993436,2.9084812537022,3.37951431809868,3.80362587088456,4.14555103288486,4.44686103490569,4.72036026259643
2197,0.325793458850357,1.04059562052463,1.83172720137934,2.51445922783935,3.09489597141625,3.56989296930805,3.98560995308835,4.36466791332124,4.66700793754507,4.93064308593547
2198,0.305198940686631,0.981230737898264,1.76943073933463,2.54267257565322,3.17759560530122,3.71642883011342,4.14622593753381,4.51576100795294,4.8481342855067,5.11048417253722
2199,0.282865009081211,0.892226038609134,1.64040960117547,2.38099055740819,3.05884413657237,3.6183281601144,4.08649879028234,4.46628212786591,4.79026460629275,5.0840268629752
2200,0.308276058935976,0.920334933429587,1.5966269407431,2.31281554102685,2.97740859894293,3.5730309520651,4.06232419089224,4.4705051158514,4.80712015497643,5.09177628378894
